id,exit,staged,seconds,timestamp
V3-T090,0,plan_capture_good_20260611_021558_087.json,117,2026-06-10T19:17:55.6439203-07:00
V3-T091,0,plan_capture_good_20260611_021755_078.json,67,2026-06-10T19:19:02.6297678-07:00
V3-T092,0,plan_capture_good_20260611_021902_078.json,59,2026-06-10T19:20:02.0196657-07:00
V3-T093,0,plan_capture_good_20260611_022002_084.json,25,2026-06-10T19:20:27.0146230-07:00
V3-T094,0,plan_capture_good_20260611_022027_084.json,48,2026-06-10T19:21:14.7142712-07:00
V3-T095,0,plan_capture_bad_20260611_022114_000.json,25,2026-06-10T19:21:39.7914000-07:00
V3-T096,0,plan_capture_good_20260611_022139_084.json,25,2026-06-10T19:22:05.2207651-07:00
V3-T097,0,plan_capture_good_20260611_022205_093.json,73,2026-06-10T19:23:17.9465974-07:00
V3-T098,0,plan_capture_good_20260611_022318_084.json,23,2026-06-10T19:23:40.6646754-07:00
V3-T099,0,plan_capture_good_20260611_022340_084.json,30,2026-06-10T19:24:10.3656819-07:00
V3-T100,0,plan_capture_good_20260611_022410_084.json,36,2026-06-10T19:24:46.3310315-07:00
V3-T101,0,plan_capture_good_20260611_022446_084.json,27,2026-06-10T19:25:13.3632483-07:00
V3-T102,0,plan_capture_good_20260611_022513_084.json,22,2026-06-10T19:25:35.0505736-07:00
V3-T103,0,plan_capture_good_20260611_022535_084.json,21,2026-06-10T19:25:56.5472814-07:00
V3-T104,0,plan_capture_good_20260611_022556_084.json,22,2026-06-10T19:26:18.2770155-07:00
V3-T105,0,plan_capture_good_20260611_022618_084.json,20,2026-06-10T19:26:37.7859148-07:00
V3-T106,0,plan_capture_good_20260611_022637_084.json,17,2026-06-10T19:26:54.9164951-07:00
V3-T107,0,plan_capture_good_20260611_022654_078.json,22,2026-06-10T19:27:16.9305390-07:00
V3-T108,0,plan_capture_good_20260611_022716_087.json,29,2026-06-10T19:27:45.9600083-07:00
V3-T109,0,plan_capture_good_20260611_022746_084.json,21,2026-06-10T19:28:07.0819402-07:00
V3-T110,0,plan_capture_good_20260611_022807_084.json,30,2026-06-10T19:28:36.9320941-07:00
V3-T111,0,plan_capture_good_20260611_022836_084.json,37,2026-06-10T19:29:14.1115411-07:00
V3-T112,0,plan_capture_good_20260611_022914_084.json,32,2026-06-10T19:29:46.3958071-07:00
V3-T113,0,plan_capture_good_20260611_022946_084.json,36,2026-06-10T19:30:22.2239867-07:00
V3-T114,0,plan_capture_good_20260611_023022_084.json,22,2026-06-10T19:30:44.0769408-07:00
V3-T115,0,plan_capture_good_20260611_023044_084.json,21,2026-06-10T19:31:05.2086906-07:00
V3-T116,0,plan_capture_good_20260611_023105_084.json,30,2026-06-10T19:31:35.3313365-07:00
